ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №221205/57/0015 от 05.12.22;221205/57/0015;05.12.2022;778,43;RUB - Российский рубль;129,74;0;0;129,74;05.12.2022 9:56;Требуется подпись;;05.12.2022 5:57;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=1a6419e6-5f99-439d-8508-d85b1e76026f&documentId=ec1fd561-b6a4-4444-9322-3c99f25b133f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221206/39/1025 от 06.12.22;221206/39/1025;06.12.2022;2 241,02;RUB - Российский рубль;373,5;0;0;373,5;06.12.2022 18:05;Требуется подпись;;06.12.2022 14:21;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=f91dd7a2-813c-446a-a4bd-a53208913baa&documentId=dedb57f9-42cb-461e-bedc-05f8ff85af33;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221207/39/0507 от 07.12.22;221207/39/0507;07.12.2022;479,14;RUB - Российский рубль;79,86;0;0;79,86;07.12.2022 16:36;Требуется подпись;;07.12.2022 12:36;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=1854d710-3848-42e9-be2c-1757ee2bc388&documentId=64f0d82d-4fe2-4760-b6c6-08f840ecda89;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221207/39/0580 от 07.12.22;221207/39/0580;07.12.2022;800,94;RUB - Российский рубль;133,49;0;0;133,49;07.12.2022 16:50;Требуется подпись;;07.12.2022 12:50;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=5370705b-acf1-43e0-b787-88782b725e7a&documentId=bb4317c2-678b-4249-b3d7-ff828248f99a;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221207/39/0523 от 07.12.22;221207/39/0523;07.12.2022;1 412,95;RUB - Российский рубль;235,49;0;0;235,49;07.12.2022 16:39;Требуется подпись;;07.12.2022 12:39;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=a5ca54c2-da5a-4ade-8fc9-dd6bed1c1b40&documentId=6b551d62-0aee-4f73-8980-6aafef4b457f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221207/67/0051 от 07.12.22;221207/67/0051;07.12.2022;24 042,80;RUB - Российский рубль;4 007,15;0;0;4 007,15;07.12.2022 11:43;Требуется подпись;;07.12.2022 7:46;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=7a64cfe9-6c37-42f5-9ee7-5d721dcc3f45&documentId=20efe937-2ab4-47b2-9242-aa4810ac4c60;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221208/30/0125 от 08.12.22;221208/30/0125;08.12.2022;15 414,28;RUB - Российский рубль;2 569,05;0;0;2 569,05;08.12.2022 10:38;Требуется подпись;;08.12.2022 6:39;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=8b837cdd-3a3b-4a32-b78a-8849ba17b2ab&documentId=3bfb4d7e-fc48-4ec0-86cc-1fb40253a6c4;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221208/15/0019 от 08.12.22;221208/15/0019;08.12.2022;7 663,40;RUB - Российский рубль;1 277,23;0;0;1 277,23;08.12.2022 10:13;Требуется подпись;;08.12.2022 6:16;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=9012abb9-5e1a-45eb-9714-ac8b87ea664f&documentId=84ce3a64-4fb9-457b-86c8-1557d0ffd348;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221209/16/1207 от 09.12.22;221209/16/1207;09.12.2022;15 673,18;RUB - Российский рубль;2 612,20;0;0;2 612,20;10.12.2022 13:23;Требуется подпись;;10.12.2022 9:35;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=d0f72461-1c3a-411d-b83b-efab51e483ce&documentId=fc2f51a5-7694-4d96-b54b-f2b5956b35a0;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221210/105/0006 от 10.12.22;221210/105/0006;10.12.2022;2 432,69;RUB - Российский рубль;405,45;0;0;405,45;10.12.2022 11:33;Требуется подпись;;10.12.2022 7:33;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=312df3c7-c80a-442c-9a3f-c5a4be9a2a0e&documentId=e3e5d88f-727d-4660-8e2e-6aafb6431a3c;
